participant_id,age,sex,comp_p,in_p,out_p
sub-104,20,M,-2.984284521,1.760864849,-1.880970868
sub-105,21,F,-0.5467801513,-1.163405575,-0.03723291305
sub-106,20,F,2.986398868,-0.5533069589,0.0131447499
sub-107,23,M,-0.0829059658,-1.436948968,-0.07644632701
sub-108,21,F,2.010510864,-0.2833065574,-1.878690948
sub-109,28,F,1.125382615,-2.775699157,-5.149855761
sub-110,20,M,1.607918523,2.652169143,-1.940367312
sub-111,80,M,0.9223910767,-1.329767367,2.710664877
sub-112,23,F,-0.8578110136,1.541376577,-3.665063802
sub-113,34,F,1.808539139,-0.8709765655,2.527866239
sub-115,21,F,4.875551776,-1.811580877,0.3369349667
sub-116,25,F,3.268691178,-0.8721663249,-0.3055943459
sub-117,20,F,-0.06256755044,2.638292588,-0.04081889307
sub-118,21,F,1.537631597,-1.327170538,1.95019412
sub-121,20,F,2.856958065,1.120390829,-0.7731463318
sub-122,20,F,0.8285821495,0.4803250744,1.409628338
sub-124,20,M,0.4091283102,1.19885915,-2.692245032
sub-125,21,F,-2.861936646,0.2752027502,0.6538389573
sub-126,20,M,0.4567814555,-1.336578775,1.768982119
sub-127,76,F,-2.245581483,4.09674035,1.865594737
sub-128,63,M,-3.266292943,-0.4539301525,-1.213592599
sub-129,68,M,3.250283785,-0.8110023578,2.852308876
sub-130,68,F,-4.053731085,3.689304759,-6.813405029
sub-132,73,F,-2.416244645,3.20741102,2.829424636
sub-133,70,M,0.8705777974,2.827673503,1.394720817
sub-134,65,F,0.6074891287,0.9230416134,-0.1787687855
sub-135,69,M,-0.6994887176,-3.24730662,4.663630328
sub-136,65,F,-0.2828394132,0.04173338761,2.215363921
sub-137,72,M,-0.8212202406,2.215234344,-2.061307233
sub-138,68,M,-1.543640897,1.514786132,-5.775059443
sub-140,68,M,-1.759328694,-0.7616595554,-4.360579876
sub-141,76,F,-1.95730573,0.8720719337,0.4453242538
sub-142,70,F,-0.5368997697,0.598880758,-0.3788236777
sub-143,73,F,-0.8702334928,-1.971033471,1.287484964
sub-144,72,M,1.120590452,-4.415918354,7.472006683
sub-147,65,F,2.746485806,-0.7071459291,3.484007747
sub-149,66,M,2.845465746,0.03487437318,0.3796391115
sub-150,23,F,-5.094537617,0.1496117515,-1.360765705
sub-151,65,F,-0.5471899713,0.1909356187,-1.440807962
sub-152,66,M,2.347759444,1.854645043,-1.660926924
sub-153,29,M,0.4992936584,-0.5135973295,2.113927474
sub-154,67,F,-3.393311775,-1.283384182,2.594923964
sub-155,30,M,-2.275290016,-2.903054556,0.3105738658
sub-156,30,F,2.443373107,3.683744356,0.5618184904
sub-157,25,M,-1.731464667,-0.5450962925,-2.59415678
sub-158,26,M,1.612072655,-0.5362886965,-0.5594717984
sub-159,24,F,1.183984481,-1.527016381,3.481126622
